No,ID,ACCID,Vet Name,แขวง/ตำบล,เขต/อำเภอ,จังหวัด,Address ID,Zip ,วันที่เปิดทำการ,เวลาเปิดทำการ,เวลาปิดทำการ,ที่อยู่,Stock,Stock
49,6778490049,CN149,โรงพยาบาลสัตว์พร้อมพันธ์,ข่วงเปา,อำเภอจอมทอง,เชียงใหม่,500204,50160,ทุกวัน,8:00:00 AM,8:00:00 PM,611/2-3 ม.11,0,0
50,6778490050,CN150,คลินิกบ้านรักษ์สัตว์ สันป่าข่อย,วัดเกต,อำเภอเมืองเชียงใหม่,เชียงใหม่,500106,50000,ทุกวัน,9:00:00 AM,8:00:00 PM,2/3 ถ.ท่าสะต๋อย,0,0
51,6778490051,CN151,ดอยติรักษาสัตว์,เวียงยอง,อำเภอเมืองลำพูน,ลำพูน,510111,51000,ทุกวัน,9:00:00 AM,6:00:00 PM,241/2 ม.2,0,0
52,6778490052,CN152,โรงพยาบาลสัตว์น่านน้ำทอง,ดู่ใต้,อำเภอเมืองน่าน,น่าน,550108,55000,ทุกวัน,8:00:00 AM,8:00:00 PM,"300/128,130 ม.6",0,0
53,6778490053,CN153,แม่จันสัตวแพทย์,แม่จัน,อำเภอแม่จัน,เชียงราย,570701,57110,ทุกวัน,9:00:00 AM,7:00:00 PM,25/2 ม.2,0,0
54,6778490054,CN154,โรงพยาบาลสัตว์หมอนุก,ช้างคลาน,อำเภอเมืองเชียงใหม่,เชียงใหม่,500105,50100,ทุกวัน,9:00:00 AM,7:00:00 PM,เลขที่ 164/69 ถนนช้างคลาน,0,0
55,6778490055,CN155,คลินิกแม่ต๋ำรักษาสัตว์,บ้านต่ำ,อำเภอเมืองพะเยา,พะเยา,560106,56000,ทุกวัน,9:00:00 AM,7:00:00 PM,เลขที่ 404 ถนนแม่ต๋ำสายใน,0,0
56,6778490056,CN156,โรงพยาบาลสัตว์ แสนสุข,ท่าวังทอง,อำเภอเมืองพะเยา,พะเยา,560113,56000,"วันจันทร์, วันอังคาร, วันพุธ, วันพฤหัส, วันศุกร์, วันเสาร์",8:30:00 AM,8:00:00 PM,เลขที่ 801 หมู่ที่ 3 ถนนพหลโยธิน,0,0
57,6778490057,CN157,คลินิกเจริญรักษ์สัตวแพทย์,เวียงชัย,อำเภอเวียงชัย,เชียงราย,570202,57210,ทุกวัน,9:00:00 AM,7:00:00 PM,431/1-2 ม.1,0,0
58,6778490058,CN158,คลินิกบ้านฮักสัตว์,สันปูเลย,อำเภอดอยสะเก็ด,เชียงใหม่,500502,50220,ทุกวัน,10:00:00 AM,7:00:00 PM,199/7-8 ม.7,0,0
59,6778490059,CN159,คลินิกฮักพะเยารักษาสัตว์,แม่กา,อำเภอเมืองพะเยา,พะเยา,560110,56000,ทุกวัน,5:00:00 PM,8:00:00 PM,23 ม.16,0,0
